month,brand,price_tier,consider_purchase_tier,decision_tier,purchase_count,revenue,purchase_user_count,avg_time_to_purchase_sec,median_time_to_purchase_sec_approx
10월,nokia,저가,12h 이내,즉시 구매(60s),5,447.39,5,33.2,32.0
10월,nokia,중가,12h 이내,30분 내 구매,106,14668.79,99,628.08,530.25
10월,nokia,중가,12h 이내,5분 내 구매,250,34402.24,211,152.82,149.0
10월,nokia,중가,12h 이내,즉시 구매(60s),58,8108.64,45,38.57,40.0
10월,nokia,중가,12h 이내,1시간 내 구매,8,1142.24,8,2056.5,1988.0
10월,nokia,중가,12h 이내,1시간 초과,1,118.1,1,6000.0,6000.0
10월,nokia,중가,36h 초과,1시간 초과,1,159.33,1,,
10월,nubia,중가,12h 이내,즉시 구매(60s),1,159.57,1,31.0,31.0
10월,nubia,중가,12h 이내,5분 내 구매,3,464.81,3,206.67,265.0
10월,nubia,중가,12h 이내,30분 내 구매,1,145.67,1,1055.0,1055.0
10월,oneplus,고가,12h 이내,30분 내 구매,97,65584.54,82,635.43,550.25
10월,oneplus,고가,12h 이내,5분 내 구매,242,166171.82,181,140.31,118.0
10월,oneplus,고가,12h 이내,즉시 구매(60s),161,113610.22,86,35.91,35.5
10월,oneplus,고가,12h 이내,1시간 내 구매,6,4160.5,5,2251.33,2247.0
10월,oneplus,고가,12h 이내,1시간 초과,3,1549.14,3,4816.67,4807.0
10월,oppo,고가,12h 이내,30분 내 구매,328,134904.23,282,579.0,483.0
10월,oppo,고가,12h 이내,5분 내 구매,983,420227.75,732,142.38,132.0
10월,oppo,고가,12h 이내,즉시 구매(60s),428,202213.93,270,37.36,37.0
10월,oppo,고가,12h 이내,1시간 내 구매,29,11953.01,28,2544.83,2541.0
10월,oppo,고가,12h 이내,1시간 초과,12,4802.84,11,5875.83,4813.0
10월,oppo,고가,즉시 구매,즉시 구매(60s),6,2906.97,4,-30.5,-31.5
10월,oppo,고가,36h 초과,1시간 초과,2,900.64,2,,
10월,oppo,중가,12h 이내,30분 내 구매,2043,364974.3,1767,590.88,479.0
10월,oppo,중가,12h 이내,5분 내 구매,5267,946632.27,3807,150.68,141.0
10월,oppo,중가,12h 이내,즉시 구매(60s),1609,291157.94,1084,38.82,39.0
10월,oppo,중가,36h 초과,1시간 초과,29,4822.78,27,,
10월,oppo,중가,즉시 구매,즉시 구매(60s),24,3970.6,22,-139.71,-34.0
10월,oppo,중가,12h 이내,1시간 내 구매,79,14015.03,72,2510.41,2455.5
10월,oppo,중가,12h 이내,1시간 초과,47,8294.57,40,6809.91,5508.0
10월,oppo,중가,36h 이내,1시간 초과,1,257.12,1,92585.0,92585.0
10월,philips,저가,12h 이내,5분 내 구매,1,82.37,1,72.0,72.0
10월,prestigio,저가,12h 이내,30분 내 구매,42,2241.23,37,569.57,497.25
10월,prestigio,저가,12h 이내,5분 내 구매,163,8878.94,137,149.83,128.0
10월,prestigio,저가,12h 이내,즉시 구매(60s),79,4467.69,50,34.75,33.0
10월,prestigio,저가,12h 이내,1시간 초과,1,50.94,1,3668.0,3668.0
10월,prestigio,저가,즉시 구매,즉시 구매(60s),1,50.68,1,-24.0,-24.0
10월,prestigio,중가,12h 이내,30분 내 구매,1,144.12,1,1234.0,1234.0
10월,samsung,고가,12h 이내,1시간 내 구매,201,86858.03,185,2414.49,2288.5
10월,samsung,고가,12h 이내,1시간 초과,92,43315.95,80,5535.88,5161.0
10월,samsung,고가,12h 이내,30분 내 구매,5536,2573835.22,4777,566.52,465.0
10월,samsung,고가,12h 이내,5분 내 구매,19602,9724350.73,13635,143.82,130.5
10월,samsung,고가,12h 이내,즉시 구매(60s),9883,5464492.4,5347,36.08,36.0
10월,samsung,고가,36h 초과,1시간 초과,62,24813.44,60,468568.33,460835.5
10월,samsung,고가,즉시 구매,즉시 구매(60s),84,40845.2,73,-74.81,-32.0
10월,samsung,고가,24h 이내,1시간 초과,1,603.62,1,81797.0,81797.0
10월,samsung,고가,36h 이내,1시간 초과,1,591.52,1,86667.0,86667.0
10월,samsung,저가,12h 이내,30분 내 구매,818,72662.02,740,560.15,454.5
10월,samsung,저가,12h 이내,5분 내 구매,2256,200325.21,1721,143.26,130.5
10월,samsung,저가,12h 이내,즉시 구매(60s),1165,103466.93,736,36.62,35.5
