month,category_code,brand,purchase_count,revenue,brand_rank_in_category
10월,computers.components.power_supply,unknown,23,1915.22,3
10월,computers.components.videocards,gigabyte,213,65546.08,1
10월,computers.components.videocards,palit,250,60054.98,2
10월,computers.components.videocards,msi,114,40418.8,3
10월,computers.desktop,pulser,422,297562.53,1
10월,computers.desktop,acer,376,226293.5,2
10월,computers.desktop,netechnics,119,94683.83,3
10월,computers.ebooks,pocketbook,251,42511.05,1
10월,computers.ebooks,amazon,25,3713.35,2
10월,computers.ebooks,ritmix,18,1607.22,3
10월,computers.notebook,acer,6016,3254703.11,1
10월,computers.notebook,apple,1110,1721027.08,2
10월,computers.notebook,lenovo,3990,1614984.36,3
10월,computers.peripherals.camera,logitech,25,3417.99,1
10월,computers.peripherals.camera,genius,2,86.39,2
10월,computers.peripherals.camera,defender,11,65.41,3
10월,computers.peripherals.keyboard,kingston,91,8767.48,1
10월,computers.peripherals.keyboard,razer,26,3250.14,2
10월,computers.peripherals.keyboard,unknown,63,2292.18,3
10월,computers.peripherals.monitor,acer,425,88550.91,1
10월,computers.peripherals.monitor,samsung,295,70917.21,2
10월,computers.peripherals.monitor,lg,93,17483.49,3
10월,computers.peripherals.mouse,logitech,132,5161.03,1
10월,computers.peripherals.mouse,steelseries,80,5101.11,2
10월,computers.peripherals.mouse,unknown,159,3289.91,3
10월,computers.peripherals.printer,epson,1227,283413.1,1
10월,computers.peripherals.printer,hp,643,102490.04,2
10월,computers.peripherals.printer,canon,394,78265.12,3
10월,construction.components.faucet,lemark,26,3640.05,1
10월,construction.components.faucet,decoroom,128,3424.73,2
10월,construction.components.faucet,grohe,20,2309.3,3
10월,construction.tools.drill,dewalt,252,58199.32,1
10월,construction.tools.drill,bosch,522,54714.47,2
10월,construction.tools.drill,unknown,980,46924.28,3
10월,construction.tools.generator,tefal,472,55626.79,1
10월,construction.tools.generator,huter,150,43983.82,2
10월,construction.tools.generator,karcher,147,26508.65,3
10월,construction.tools.light,xiaomi,26,2203.58,1
10월,construction.tools.light,unknown,54,421.67,2
10월,construction.tools.light,escada,2,222.27,3
